悪口雑言,あっこうぞうごん,人の悪口や無意味な言葉。
起承転結,きしょうてんけつ,物語や文章の構成要素である序論、展開、転換、結論のこと。
虚虚実実,ここじつじつ,実際と虚構を巧みに使い分けること。
虚心坦懐,きょしんたんかい,心に偏見や先入観がなく、素直で開けっぴろげな態度。
漁夫の利,ぎょふのり,他人の争いに乗じて利益を得ること。
暁闇昏黄,ぎょうあんこんこう,夜明け前の暗さと夕暮れ時の黄昏を表す。
玉石混淆,ぎょくせきこんこう,良いものと悪いものが混在していること。
金科玉条,きんかぎょくじょう,最も大切な法律や規則。大切に守るべき法則や規則。
形勢逆転,けいせいぎゃくてん,状況が一変して逆の状態になること。
源泉豊饒,げんせんほうじょう,豊かで絶えることのない源。
五臓六腑,ごぞうろっぷ,体全体、内臓を表す言葉。
呉越同舟,ごえつどうしゅう,仲が悪い者同士が同じ場所にいること。
三日坊主,みっかぼうず,続かないこと、飽きやすいこと。
四苦八苦,しくはっく,様々な苦しみや困難に直面すること。
自画自賛,じがじさん,自分のことを自分で褒めること。
自業自得,じごうじとく,自分の行いの結果は自分で受けるべきだということ。
疾風迅雷,しっぷうじんらい,非常に速くて力強い様子。
弱肉強食,じゃくにくきょうしょく,強い者が弱い者を支配する自然の法則。
衆人環視,しゅうじんかんし,多くの人々が取り囲んで注目している状況。
十人十色,じゅうにんといろ,人それぞれ好みや性格が違うこと。
十中八九,じゅっちゅうはっく,ほとんどの場合、非常に高い確率。
初志貫徹,しょしかんてつ,最初に立てた志を最後まで貫き通すこと。
諸行無常,しょぎょうむじょう,この世の全てのものは常に変化し続け、永遠に不変のものはないという仏教の教え。
招福入禍,しょうふくにゅうか,福を招き災いを避けること。
笑止千万,しょうしせんばん,非常に笑えること。
心機一転,しんきいってん,心を新たにして気持ちを改めること。
森羅万象,しんらばんしょう,宇宙に存在するすべての事象。
水月鏡花,すいげつきょうか,実体のない非常に儚いもののたとえ。
晴耕雨読,せいこううどく,晴れた日は畑を耕し、雨の日は読書を楽しむという穏やかな生活。
青雲の志,せいうんのこころざし,高い理想や大志を抱くこと。
青出於藍,せいしゅつおらん,弟子が師匠を超えること。
青天白日,せいてんはくじつ,疑いを晴らして無実を証明すること。
青天霹靂,せいてんへきれき,突然にして予期せぬ出来事が起こること。
切磋琢磨,せっさたくま,互いに励まし合い、努力して向上すること。互いに励まし合いながら学問や技術を磨くこと。
千載一遇,せんざいいちぐう,千年に一度の好機。
洗心革面,せんしんかくめん,心を洗い清め、態度や行動を改めること。
草木皆兵,そうもくかいへい,危険を感じて何でも敵に見える心理状態。
大器晩成,たいきばんせい,大才能は晩年になって成果をあげること。優れた才能はすぐには現れず、時間をかけて成長すること。
知行合一,ちこうごういつ,知識と行動が一致していること。
鳥獣戯画,ちょうじゅうぎが,平安時代の絵巻物で、動物が人間のように振る舞う様子を描いたもの。転じて、滑稽な人間模様を指す。
沈魚落雁,ちんぎょらくがん,美しい女性の容貌をほめる言葉。
天衣無縫,てんいむほう,自然体で飾り気がないこと。
天衣無縫,てんいむほう,自然体で飾り気がなく、無邪気なこと。
天涯孤独,てんがいこどく,世界の果てまで行っても頼る人がいない孤独。
天真爛漫,てんしんらんまん,素直で飾り気がなく、自然体のこと。
天地無用,てんちむよう,物を逆さまに扱ってはいけない、という意味から転じて、取り扱いに注意が必要なこと。
東西南北,とうざいなんぼく,あらゆる方向、またはどこへでも。
東奔西走,とうほんせいそう,忙しくあちこち走り回ること。忙しくあちこち動き回ること。
日進月歩,にっしんげっぽ,日々進歩していること。
博学多才,はくがくたさい,幅広い知識と多くの才能を持っていること。
八面六臂,はちめんろっぴ,一人で多くのことを同時にこなす能力。
飛耳長目,ひじちょうもく,非常に注意深く、遠くの音や細かいことまで聞き取ったり見たりする能力。
美辞麗句,びじれいく,美しい言葉遣い。
百花繚乱,ひゃっかりょうらん,多くの良いものが入り乱れている様子。
百戦錬磨,ひゃくせんれんま,多くの経験を積み、熟練したこと。
表裏一体,ひょうりいったい,二つの面が一つのものを成していること。
不言実行,ふげんじっこう,言葉にせずに実行すること。
不撓不屈,ふとうふくつ,どんな困難にも屈せず、ひるまないこと。
風林火山,ふうりんかざん,速さと力強さを表す言葉。武田信玄の旗指す四字熟語で、戦いの方針を表す。
無我夢中,むがむちゅう,何かに夢中になり、自我を忘れること。
無事是名,（ぶじこれめいば,トラブルがないことが、かえってその価値を証明することのたとえ。何事もないことが最も良いこと。
無名小卒,むめいしょうそつ,名も知られず地位も低い人。
明鏡止水,めいきょうしすい,心が穏やかで何のわだかまりもない状態。心が穏やかで澄み切っていること。
唯我独尊,ゆいがどくそん,自分だけが特別であるという考え。
唯心造象,ゆいしんぞうしょう,すべての現象は心の作用によって生じるという仏教の教え。
唯唯諾諾,いいだくだく,他人の言うことにいつも同意すること。
有名無実,ゆうめいむじつ,名ばかりで実質が伴わないこと。
羊頭狗肉,ようとうくにく,見かけは良いが中身は期待外れなこと。
理非曲直,りひきょくちょく,正しいことと間違っていること、曲がっていることと直っていること。
竜頭蛇尾,りゅうとうだび,始めは盛んでも終わりが振るわないこと。
和洋折衷,わようせっちゅう,日本式と西洋式をうまく取り入れること。
漱石枕流,そうせきちんりゅう,無駄な努力や無益な行為のたとえ。
紆余曲折,うよきょくせつ,事情が複雑に入り組んでいること。
